2024-05-01 15:30:44,183 - root - INFO - Namespace(seed=2019, model_type='fm', data_name='data-mooc-for-test-final', data_dir='./', use_user_info=1, use_pretrain=0, pretrain_embedding_dir='datasets/pretrain/', pretrain_model_path='trained_model/model.pth', embed_dim=64, hidden_dim_list='[64, 32, 16]', mess_dropout='[0.1, 0.1, 0.1]', l2loss_lambda=1e-05, train_batch_size=1024, test_batch_size=1024, test_cores=0, lr=0.0001, n_epoch=1000, stopping_steps=5, print_every=50, evaluate_every=5, Ks='[1, 5, 10]', save_dir='cf_scores.np')
2024-05-01 15:30:46,889 - root - INFO - n_users:              99969
2024-05-01 15:30:46,889 - root - INFO - n_items:              2831
2024-05-01 15:30:46,889 - root - INFO - n_entities:           10218
2024-05-01 15:30:46,889 - root - INFO - n_user_attr:           99972
2024-05-01 15:30:46,889 - root - INFO - n_users_entities:     110190
2024-05-01 15:30:46,889 - root - INFO - n_cf_train:           1792212
2024-05-01 15:30:46,889 - root - INFO - n_cf_test:            99969
2024-05-01 15:30:46,897 - root - INFO - shape of user_matrix: (99969, 99972)
2024-05-01 15:30:46,897 - root - INFO - shape of feat_matrix: (2831, 10218)
2024-05-01 15:30:46,962 - root - INFO - NFM(
  (linear): Linear(in_features=110190, out_features=1, bias=True)
  (h): Linear(in_features=64, out_features=1, bias=False)
)
2024-05-01 15:30:58,476 - root - INFO - CF Training: Epoch 0001 Iter 0050 / 1751 | Time 0.2s | Iter Loss 0.5946 | Iter Mean Loss 0.6261
2024-05-01 15:31:08,217 - root - INFO - CF Training: Epoch 0001 Iter 0100 / 1751 | Time 0.2s | Iter Loss 0.5833 | Iter Mean Loss 0.6047
2024-05-01 15:31:18,024 - root - INFO - CF Training: Epoch 0001 Iter 0150 / 1751 | Time 0.2s | Iter Loss 0.5278 | Iter Mean Loss 0.5907
2024-05-01 15:31:27,750 - root - INFO - CF Training: Epoch 0001 Iter 0200 / 1751 | Time 0.2s | Iter Loss 0.5345 | Iter Mean Loss 0.5794
2024-05-01 15:31:37,906 - root - INFO - CF Training: Epoch 0001 Iter 0250 / 1751 | Time 0.2s | Iter Loss 0.5296 | Iter Mean Loss 0.5704
2024-05-01 15:31:49,171 - root - INFO - CF Training: Epoch 0001 Iter 0300 / 1751 | Time 0.2s | Iter Loss 0.5326 | Iter Mean Loss 0.5633
2024-05-01 15:32:00,905 - root - INFO - CF Training: Epoch 0001 Iter 0350 / 1751 | Time 0.3s | Iter Loss 0.5139 | Iter Mean Loss 0.5556
2024-05-01 15:32:12,023 - root - INFO - CF Training: Epoch 0001 Iter 0400 / 1751 | Time 0.2s | Iter Loss 0.4928 | Iter Mean Loss 0.5486
2024-05-01 15:32:23,599 - root - INFO - CF Training: Epoch 0001 Iter 0450 / 1751 | Time 0.2s | Iter Loss 0.4698 | Iter Mean Loss 0.5414
2024-05-01 15:32:34,183 - root - INFO - CF Training: Epoch 0001 Iter 0500 / 1751 | Time 0.2s | Iter Loss 0.4617 | Iter Mean Loss 0.5342
2024-05-01 15:32:44,594 - root - INFO - CF Training: Epoch 0001 Iter 0550 / 1751 | Time 0.2s | Iter Loss 0.4280 | Iter Mean Loss 0.5271
2024-05-01 15:32:55,762 - root - INFO - CF Training: Epoch 0001 Iter 0600 / 1751 | Time 0.3s | Iter Loss 0.4484 | Iter Mean Loss 0.5204
2024-05-01 15:33:07,250 - root - INFO - CF Training: Epoch 0001 Iter 0650 / 1751 | Time 0.2s | Iter Loss 0.4191 | Iter Mean Loss 0.5136
2024-05-01 15:33:19,506 - root - INFO - CF Training: Epoch 0001 Iter 0700 / 1751 | Time 0.3s | Iter Loss 0.4351 | Iter Mean Loss 0.5071
